S.NO,States,Private Labs,Public Labs
1,Andhra Pradesh,27,78
2,Arunachal Pradesh,2,16
3,Assam,25,15
4,Bihar,13,48
5,Chandigarh,1,3
6,Chhattisgarh,8,36
7,Delhi,51,26
8,Gujarat,34,40
9,Goa,1,6
10,Haryana,27,21
11,Himachal Pradesh,1,30
12,Jammu and Kashmir,3,24
13,Jharkhand,7,33
14,Karnataka,99,56
15,Kerala,76,35
16,Maharashtra,96,87
17,Madhya Pradesh,20,77
18,Manipur,6,7
19,Meghalaya,3,17
20,Mizoram,0,11
21,Nagaland,0,14
22,Odisha,10,43
23,Puducherry,7,6
24,Punjab,15,36
25,Rajasthan,20,27
26,TamilNadu,131,66
27,Telangana,54,19
28,Tripura,0,4
29,Uttar Pradesh,83,123
30,Uttarakhand,5,40
31,West Bengal,38,67
32,Andaman & Nicobar Island,0,5
33,Dadra & Nagar Haveli,0,1
34,Sikkism,0,2
35,Leh-Ladakh,0,3
36,Lakshadweep,0,2
